name                              | abbrev | utc_offset | is_dst
 Asia/Katmandu                    | +0545  | 05:45:00   | f
 Asia/Gaza                        | EET    | 02:00:00   | f
 Asia/Samarkand                   | +05    | 05:00:00   | f
 Asia/Taipei                      | CST    | 08:00:00   | f
 Asia/Tashkent                    | +05    | 05:00:00   | f
 Asia/Yekaterinburg               | +05    | 05:00:00   | f
 Asia/Macau                       | CST    | 08:00:00   | f
 Asia/Qyzylorda                   | +05    | 05:00:00   | f
 Asia/Macao                       | CST    | 08:00:00   | f
 Asia/Tokyo                       | JST    | 09:00:00   | f
 Asia/Baku                        | +04    | 04:00:00   | f
 Asia/Barnaul                     | +07    | 07:00:00   | f
 Asia/Istanbul                    | +03    | 03:00:00   | f
 Asia/Irkutsk                     | +08    | 08:00:00   | f
 Asia/Qatar                       | +03    | 03:00:00   | f
 Asia/Bahrain                     | +03    | 03:00:00   | f
 Asia/Yangon                      | +0630  | 06:30:00   | f
 Asia/Yerevan                     | +04    | 04:00:00   | f
 Asia/Almaty                      | +06    | 06:00:00   | f
 Asia/Dili                        | +09    | 09:00:00   | f
 Asia/Dacca                       | +06    | 06:00:00   | f
 Asia/Chongqing                   | CST    | 08:00:00   | f
 Asia/Ust-Nera                    | +10    | 10:00:00   | f
 Asia/Magadan                     | +11    | 11:00:00   | f
 Asia/Colombo                     | +0530  | 05:30:00   | f
 Asia/Krasnoyarsk                 | +07    | 07:00:00   | f
 Asia/Kamchatka                   | +12    | 12:00:00   | f
 Asia/Ujung_Pandang               | WITA   | 08:00:00   | f
 Asia/Jakarta                     | WIB    | 07:00:00   | f
 Asia/Kolkata                     | IST    | 05:30:00   | f
 Asia/Kabul                       | +0430  | 04:30:00   | f
 Asia/Oral                        | +05    | 05:00:00   | f
 Asia/Jayapura                    | WIT    | 09:00:00   | f
 Asia/Pontianak                   | WIB    | 07:00:00   | f
 Asia/Makassar                    | WITA   | 08:00:00   | f
 Asia/Tbilisi                     | +04    | 04:00:00   | f
 Asia/Singapore                   | +08    | 08:00:00   | f
 Asia/Harbin                      | CST    | 08:00:00   | f
 Asia/Kashgar                     | +06    | 06:00:00   | f
 Asia/Dhaka                       | +06    | 06:00:00   | f
 Asia/Yakutsk                     | +09    | 09:00:00   | f
 Asia/Kuala_Lumpur                | +08    | 08:00:00   | f
 Asia/Tehran                      | +0430  | 04:30:00   | t
 Asia/Beirut                      | EET    | 02:00:00   | f
 Asia/Aqtobe                      | +05    | 05:00:00   | f
 Asia/Anadyr                      | +12    | 12:00:00   | f
 Asia/Bishkek                     | +06    | 06:00:00   | f
 Asia/Dubai                       | +04    | 04:00:00   | f
 Asia/Riyadh                      | +03    | 03:00:00   | f
 Asia/Novokuznetsk                | +07    | 07:00:00   | f
 Asia/Aqtau                       | +05    | 05:00:00   | f
 Asia/Omsk                        | +06    | 06:00:00   | f
